Fecha,PIB
2004-12-01,0.0029651307558831164
2005-01-01,0.0029455734174884305
2005-02-01,0.0029455734174884305
2005-03-01,0.0029455734174884305
2005-04-01,0.003176357093612007
2005-05-01,0.003176357093612007
2005-06-01,0.003176357093612007
2005-07-01,0.003274918986091002
2005-08-01,0.003274918986091002
2005-09-01,0.003274918986091002
2005-10-01,0.0038546274604260113
2005-11-01,0.0038546274604260113
2005-12-01,0.0038546274604260113
2006-01-01,0.0029868469302047154
2006-02-01,0.0029868469302047154
2006-03-01,0.0029868469302047154
2006-04-01,0.0031319524597875534
2006-05-01,0.0031319524597875534
2006-06-01,0.0031319524597875534
2006-07-01,0.0030877601856547088
2006-08-01,0.0030877601856547088
2006-09-01,0.0030877601856547088
2006-10-01,0.0030163320318123965
2006-11-01,0.0030163320318123965
2006-12-01,0.0030163320318123965
2007-01-01,0.0029125310597025353
2007-02-01,0.0029125310597025353
2007-03-01,0.0029125310597025353
2007-04-01,0.002489702522905368
2007-05-01,0.002489702522905368
2007-06-01,0.002489702522905368
2007-07-01,0.002028587873076878
2007-08-01,0.002028587873076878
2007-09-01,0.002028587873076878
2007-10-01,0.0006229703053515223
2007-11-01,0.0006229703053515223
2007-12-01,0.0006229703053515223
2008-01-01,0.00011730971323734944
2008-02-01,0.00011730971323734944
2008-03-01,0.00011730971323734944
2008-04-01,-0.0007057456003369822
2008-05-01,-0.0007057456003369822
2008-06-01,-0.0007057456003369822
2008-07-01,-0.0052096217394691875
2008-08-01,-0.0052096217394691875
2008-09-01,-0.0052096217394691875
2008-10-01,-0.009034980903740516
2008-11-01,-0.009034980903740516
2008-12-01,-0.009034980903740516
2009-01-01,0.00021815442144716238
2009-02-01,0.00021815442144716238
2009-03-01,0.00021815442144716238
2009-04-01,0.0006562461681944853
2009-05-01,0.0006562461681944853
2009-06-01,0.0006562461681944853
2009-07-01,-8.113550163487322e-05
2009-08-01,-8.113550163487322e-05
2009-09-01,-8.113550163487322e-05
2009-10-01,-0.0002973357627551465
2009-11-01,-0.0002973357627551465
2009-12-01,-0.0002973357627551465
2010-01-01,0.00041078803738100095
2010-02-01,0.00041078803738100095
2010-03-01,0.00041078803738100095
2010-04-01,-0.00020978509595437345
2010-05-01,-0.00020978509595437345
2010-06-01,-0.00020978509595437345
2010-07-01,0.000343965116910816
2010-08-01,0.000343965116910816
2010-09-01,0.000343965116910816
2010-10-01,-0.00026214641881624107
2010-11-01,-0.00026214641881624107
2010-12-01,-0.00026214641881624107
2011-01-01,-0.0008640683409160133
2011-02-01,-0.0008640683409160133
2011-03-01,-0.0008640683409160133
2011-04-01,-0.0020402194670493166
2011-05-01,-0.0020402194670493166
2011-06-01,-0.0020402194670493166
2011-07-01,-0.0018820715090065814
2011-08-01,-0.0018820715090065814
2011-09-01,-0.0018820715090065814
2011-10-01,-0.003152149106706285
2011-11-01,-0.003152149106706285
2011-12-01,-0.003152149106706285
2012-01-01,-0.003246709477591203
2012-02-01,-0.003246709477591203
2012-03-01,-0.003246709477591203
2012-04-01,-0.0015341779403218088
2012-05-01,-0.0015341779403218088
2012-06-01,-0.0015341779403218088
2012-07-01,-0.0027754322133806872
2012-08-01,-0.0027754322133806872
2012-09-01,-0.0027754322133806872
2012-10-01,-0.0009173662135838848
2012-11-01,-0.0009173662135838848
2012-12-01,-0.0009173662135838848
2013-01-01,-0.0003421927573645789
2013-02-01,-0.0003421927573645789
2013-03-01,-0.0003421927573645789
2013-04-01,-0.000210274300420051
2013-05-01,-0.000210274300420051
2013-06-01,-0.000210274300420051
2013-07-01,0.0006335433353695427
2013-08-01,0.0006335433353695427
2013-09-01,0.0006335433353695427
2013-10-01,0.001257618468407884
2013-11-01,0.001257618468407884
2013-12-01,0.001257618468407884
2014-01-01,0.001795370464560797
2014-02-01,0.001795370464560797
2014-03-01,0.001795370464560797
2014-04-01,0.002654620767922703
2014-05-01,0.002654620767922703
2014-06-01,0.002654620767922703
2014-07-01,0.00320720437791581
2014-08-01,0.00320720437791581
2014-09-01,0.00320720437791581
2014-10-01,0.004033496216644099
2014-11-01,0.004033496216644099
2014-12-01,0.004033496216644099
2015-01-01,0.003711859101404258
2015-02-01,0.003711859101404258
2015-03-01,0.003711859101404258
2015-04-01,0.003043283390183523
2015-05-01,0.003043283390183523
2015-06-01,0.003043283390183523
2015-07-01,0.002963644247532334
2015-08-01,0.002963644247532334
2015-09-01,0.002963644247532334
2015-10-01,0.002308120090218561
2015-11-01,0.002308120090218561
2015-12-01,0.002308120090218561
2016-01-01,0.0011006829094556043
2016-02-01,0.0011006829094556043
2016-03-01,0.0011006829094556043
2016-04-01,0.002624679195212032
2016-05-01,0.002624679195212032
2016-06-01,0.002624679195212032
2016-07-01,0.0018890640446362166
2016-08-01,0.0018890640446362166
2016-09-01,0.0018890640446362166
2016-10-01,0.00235170930397229
2016-11-01,0.00235170930397229
2016-12-01,0.00235170930397229
2017-01-01,0.0034673947767736024
2017-02-01,0.0034673947767736024
2017-03-01,0.0034673947767736024
2017-04-01,0.002099182778889208
2017-05-01,0.002099182778889208
2017-06-01,0.002099182778889208
2017-07-01,0.0020228563528193653
2017-08-01,0.0020228563528193653
2017-09-01,0.0020228563528193653
2017-10-01,0.0014225380105280887
2017-11-01,0.0014225380105280887
2017-12-01,0.0014225380105280887
2018-01-01,0.002166345535094353
2018-02-01,0.002166345535094353
2018-03-01,0.002166345535094353
2018-04-01,0.0018558162344749125
2018-05-01,0.0018558162344749125
2018-06-01,0.0018558162344749125
2018-07-01,0.001945171928858495
2018-08-01,0.001945171928858495
2018-09-01,0.001945171928858495
2018-10-01,0.00203738480413899
2018-11-01,0.00203738480413899
2018-12-01,0.00203738480413899
2019-01-01,0.0009597774397975082
2019-02-01,0.0009597774397975082
2019-03-01,0.0009597774397975082
2019-04-01,0.0006381219067952415
2019-05-01,0.0006381219067952415
2019-06-01,0.0006381219067952415
2019-07-01,0.0018967400494632376
2019-08-01,0.0018967400494632376
2019-09-01,0.0018967400494632376
2019-10-01,-0.017720778213051663
2019-11-01,-0.017720778213051663
2019-12-01,-0.017720778213051663
2020-01-01,-0.0652992283178196
2020-02-01,-0.0652992283178196
2020-03-01,-0.0652992283178196
2020-04-01,0.04919239496067481
2020-05-01,0.04919239496067481
2020-06-01,0.04919239496067481
2020-07-01,0.0024099615614199266
2020-08-01,0.0024099615614199266
2020-09-01,0.0024099615614199266
2020-10-01,0.003981914431992213
2020-11-01,0.003981914431992213
2020-12-01,0.003981914431992213
2021-01-01,0.004538560160302889
2021-02-01,0.004538560160302889
2021-03-01,0.004538560160302889
2021-04-01,0.006506703940686383
2021-05-01,0.006506703940686383
