fila,subfila,columna,subcolumna,valor
Marzo de 2005,IMPORT,Taric,,"19710646864,92"
Abril de 2005,IMPORT,Taric,,"20077691435,67"
Mayo de 2005,IMPORT,Taric,,"19719486342,90"
Junio de 2005,IMPORT,Taric,,"20907907134,50"
Julio de 2005,IMPORT,Taric,,"18717929097,26"
Agosto de 2005,IMPORT,Taric,,"16689128510,01"
Septiembre de 2005,IMPORT,Taric,,"20614023057,10"
Octubre de 2005,IMPORT,Taric,,"19761244625,55"
Noviembre de 2005,IMPORT,Taric,,"21995492247,79"
Diciembre de 2005,IMPORT,Taric,,"20223952805,36"
Enero de 2004,IMPORT,Taric,,"15151700174,23"
Febrero de 2004,IMPORT,Taric,,"15839630860,85"
Marzo de 2004,IMPORT,Taric,,"18245762230,35"
Abril de 2004,IMPORT,Taric,,"17124081927,40"
Mayo de 2004,IMPORT,Taric,,"17616341449,57"
Junio de 2004,IMPORT,Taric,,"18605911120,79"
Julio de 2004,IMPORT,Taric,,"17585395984,56"
Agosto de 2004,IMPORT,Taric,,"13881558308,02"
Septiembre de 2004,IMPORT,Taric,,"18670204961,27"
Octubre de 2004,IMPORT,Taric,,"18213434671,27"
Noviembre de 2004,IMPORT,Taric,,"19256791545,69"
Diciembre de 2004,IMPORT,Taric,,"18219890352,49"
Enero de 2006,IMPORT,Taric,,"20037542075,25"
Febrero de 2006,IMPORT,Taric,,"20670109895,88"
Marzo de 2006,IMPORT,Taric,,"23798886486,07"
Abril de 2006,IMPORT,Taric,,"20346217919,73"
Mayo de 2006,IMPORT,Taric,,"23664811754,42"
Junio de 2006,IMPORT,Taric,,"23364697636,45"
Julio de 2006,IMPORT,Taric,,"20855115250,84"
Agosto de 2006,IMPORT,Taric,,"18777252411,33"
Septiembre de 2006,IMPORT,Taric,,"22112114290,50"
Octubre de 2006,IMPORT,Taric,,"23753052607,97"
Noviembre de 2006,IMPORT,Taric,,"23894886850,77"
Diciembre de 2006,IMPORT,Taric,,"21412502312,17"
Enero de 2007,IMPORT,Taric,,"22331483058,71"
Febrero de 2007,IMPORT,Taric,,"22498037931,45"
Marzo de 2007,IMPORT,Taric,,"25079002722,61"
Abril de 2007,IMPORT,Taric,,"22246474399,87"
Mayo de 2007,IMPORT,Taric,,"24740697320,53"
Junio de 2007,IMPORT,Taric,,"25132939295,65"
Julio de 2007,IMPORT,Taric,,"24758272971,70"
Agosto de 2007,IMPORT,Taric,,"19909120079,93"
Septiembre de 2007,IMPORT,Taric,,"23760175824,44"
Octubre de 2007,IMPORT,Taric,,"26536299805,54"
Noviembre de 2007,IMPORT,Taric,,"25197521945,56"
Diciembre de 2007,IMPORT,Taric,,"22848288063,83"
Enero de 2008,IMPORT,Taric,,"25543095689,05"
Febrero de 2008,IMPORT,Taric,,"25143166745,58"
Marzo de 2008,IMPORT,Taric,,"24045772433,79"
Abril de 2008,IMPORT,Taric,,"26436665323,25"
Mayo de 2008,IMPORT,Taric,,"24908923601,14"
Junio de 2008,IMPORT,Taric,,"25215956251,12"
Julio de 2008,IMPORT,Taric,,"25739035113,01"
Agosto de 2008,IMPORT,Taric,,"19151194303,07"
Septiembre de 2008,IMPORT,Taric,,"24229962989,96"
Octubre de 2008,IMPORT,Taric,,"24813151179,87"
Noviembre de 2008,IMPORT,Taric,,"19558729844,61"
Diciembre de 2008,IMPORT,Taric,,"18602110885,48"
Enero de 2009,IMPORT,Taric,,"16088298287,23"
Febrero de 2009,IMPORT,Taric,,"16973312977,29"
Marzo de 2009,IMPORT,Taric,,"17340659860,91"
Abril de 2009,IMPORT,Taric,,"16143802522,96"
Mayo de 2009,IMPORT,Taric,,"15626687628,85"
Junio de 2009,IMPORT,Taric,,"17392627253,32"
Julio de 2009,IMPORT,Taric,,"17791865059,08"
Agosto de 2009,IMPORT,Taric,,"14368821888,92"
Septiembre de 2009,IMPORT,Taric,,"18891557733,78"
Octubre de 2009,IMPORT,Taric,,"18868447938,26"
Noviembre de 2009,IMPORT,Taric,,"18839442241,92"
Diciembre de 2009,IMPORT,Taric,,"17790651118,91"
Enero de 2010,IMPORT,Taric,,"17578679913,27"
Febrero de 2010,IMPORT,Taric,,"17827536729,82"
Marzo de 2010,IMPORT,Taric,,"21316244250,14"
Abril de 2010,IMPORT,Taric,,"19733173736,44"
Mayo de 2010,IMPORT,Taric,,"20276926157,53"
Junio de 2010,IMPORT,Taric,,"21380729643,59"
Julio de 2010,IMPORT,Taric,,"20544859962,47"
Agosto de 2010,IMPORT,Taric,,"17215705226,93"
Septiembre de 2010,IMPORT,Taric,,"20454088600,33"
Octubre de 2010,IMPORT,Taric,,"20933442464,55"
Noviembre de 2010,IMPORT,Taric,,"21649316153,60"
Diciembre de 2010,IMPORT,Taric,,"21145147264,34"
Enero de 2011,IMPORT,Taric,,"21990840052,33"
Febrero de 2011,IMPORT,Taric,,"21184287727,66"
Marzo de 2011,IMPORT,Taric,,"24806835230,68"
Abril de 2011,IMPORT,Taric,,"21353137928,53"
Mayo de 2011,IMPORT,Taric,,"22469189826,98"
Junio de 2011,IMPORT,Taric,,"22256211619,37"
Julio de 2011,IMPORT,Taric,,"21156469151,91"
Agosto de 2011,IMPORT,Taric,,"19383438174,79"
Septiembre de 2011,IMPORT,Taric,,"22843700114,42"
Octubre de 2011,IMPORT,Taric,,"21460071019,80"
Noviembre de 2011,IMPORT,Taric,,"22941921874,77"
Diciembre de 2011,IMPORT,Taric,,"21294637927,30"
Enero de 2012,IMPORT,Taric,,"21212124061,00"
Febrero de 2012,IMPORT,Taric,,"22370159649,62"
Marzo de 2012,IMPORT,Taric,,"23834498370,69"
Abril de 2012,IMPORT,Taric,,"20989910894,49"
Mayo de 2012,IMPORT,Taric,,"22283699732,62"
Junio de 2012,IMPORT,Taric,,"21718348018,84"
Julio de 2012,IMPORT,Taric,,"22112970296,50"
Agosto de 2012,IMPORT,Taric,,"19450906627,39"
Septiembre de 2012,IMPORT,Taric,,"20888782232,22"
Octubre de 2012,IMPORT,Taric,,"22586000562,15"
Noviembre de 2012,IMPORT,Taric,,"21359436252,39"
Diciembre de 2012,IMPORT,Taric,,"19138794316,18"
Enero de 2013,IMPORT,Taric,,"22094321760,46"
Febrero de 2013,IMPORT,Taric,,"19998524527,90"
Marzo de 2013,IMPORT,Taric,,"20075658258,78"
Abril de 2013,IMPORT,Taric,,"22200894649,53"
Mayo de 2013,IMPORT,Taric,,"21475166723,62"
Junio de 2013,IMPORT,Taric,,"20569929330,47"
Julio de 2013,IMPORT,Taric,,"22103798757,04"
Agosto de 2013,IMPORT,Taric,,"18138444833,54"
Septiembre de 2013,IMPORT,Taric,,"21491026223,98"
Octubre de 2013,IMPORT,Taric,,"22646941983,35"
Noviembre de 2013,IMPORT,Taric,,"21219249064,00"
Diciembre de 2013,IMPORT,Taric,,"20332819116,81"
Enero de 2014,IMPORT,Taric,,"21885968694,58"
Febrero de 2014,IMPORT,Taric,,"21303395089,15"
Marzo de 2014,IMPORT,Taric,,"22477245453,04"
Abril de 2014,IMPORT,Taric,,"21513283730,76"
Mayo de 2014,IMPORT,Taric,,"22621995171,37"
Junio de 2014,IMPORT,Taric,,"22463947673,55"
Julio de 2014,IMPORT,Taric,,"23746051871,06"
Agosto de 2014,IMPORT,Taric,,"18688357803,08"
Septiembre de 2014,IMPORT,Taric,,"23337494239,24"
Octubre de 2014,IMPORT,Taric,,"24723355168,33"
Noviembre de 2014,IMPORT,Taric,,"21612969740,09"
Diciembre de 2014,IMPORT,Taric,,"21182542237,71"
Enero de 2015,IMPORT,Taric,,"21010596334,94"
Febrero de 2015,IMPORT,Taric,,"22274130890,90"
Marzo de 2015,IMPORT,Taric,,"24441078111,29"
Abril de 2015,IMPORT,Taric,,"23169541835,26"
Mayo de 2015,IMPORT,Taric,,"22514956430,50"
Junio de 2015,IMPORT,Taric,,"24250322616,28"
Julio de 2015,IMPORT,Taric,,"24758240934,96"
Agosto de 2015,IMPORT,Taric,,"19201156217,85"
Septiembre de 2015,IMPORT,Taric,,"23985903523,05"
Octubre de 2015,IMPORT,Taric,,"23795351832,04"
Noviembre de 2015,IMPORT,Taric,,"23537239520,94"
Diciembre de 2015,IMPORT,Taric,,"21833811968,83"
Enero de 2016,IMPORT,Taric,,"21081895139,77"
Febrero de 2016,IMPORT,Taric,,"22306541956,50"
Marzo de 2016,IMPORT,Taric,,"23332302465,41"
Abril de 2016,IMPORT,Taric,,"22951706269,22"
Mayo de 2016,IMPORT,Taric,,"22992820263,53"
Junio de 2016,IMPORT,Taric,,"24122290725,49"
Julio de 2016,IMPORT,Taric,,"21991836634,03"
Agosto de 2016,IMPORT,Taric,,"20054370231,51"
Septiembre de 2016,IMPORT,Taric,,"23510500292,63"
Octubre de 2016,IMPORT,Taric,,"23634397323,46"
Noviembre de 2016,IMPORT,Taric,,"24755235570,43"
Diciembre de 2016,IMPORT,Taric,,"23044702524,36"
Enero de 2017,IMPORT,Taric,,"25015631212,50"
Febrero de 2017,IMPORT,Taric,,"24707994835,82"
Marzo de 2017,IMPORT,Taric,,"28070531331,00"
Abril de 2017,IMPORT,Taric,,"22439820111,53"
Mayo de 2017,IMPORT,Taric,,"26957306600,30"
Junio de 2017,IMPORT,Taric,,"25508801224,25"
Julio de 2017,IMPORT,Taric,,"24511638578,65"
Agosto de 2017,IMPORT,Taric,,"22052881462,81"
Septiembre de 2017,IMPORT,Taric,,"25584234414,89"
Octubre de 2017,IMPORT,Taric,,"27246843977,35"
Noviembre de 2017,IMPORT,Taric,,"27107113357,69"
Diciembre de 2017,IMPORT,Taric,,"23228361351,33"
Enero de 2018,IMPORT,Taric,,"27312596648,18"
Febrero de 2018,IMPORT,Taric,,"25093644258,64"
Marzo de 2018,IMPORT,Taric,,"26429657040,25"
Abril de 2018,IMPORT,Taric,,"27087305983,62"
Mayo de 2018,IMPORT,Taric,,"27615199773,40"
Junio de 2018,IMPORT,Taric,,"27258605559,54"
Julio de 2018,IMPORT,Taric,,"28025848875,08"
Agosto de 2018,IMPORT,Taric,,"23385591305,11"
Septiembre de 2018,IMPORT,Taric,,"25419615535,71"
Octubre de 2018,IMPORT,Taric,,"30110041578,52"
Noviembre de 2018,IMPORT,Taric,,"27596883926,56"
Diciembre de 2018,IMPORT,Taric,,"24312339130,00"
Enero de 2019,IMPORT,Taric,,"27204324011,13"
Febrero de 2019,IMPORT,Taric,,"26003693483,71"
Marzo de 2019,IMPORT,Taric,,"28213481894,59"
Abril de 2019,IMPORT,Taric,,"26258769498,67"
Mayo de 2019,IMPORT,Taric,,"29279176872,93"
Junio de 2019,IMPORT,Taric,,"25888571026,16"
Julio de 2019,IMPORT,Taric,,"28330777554,91"
Agosto de 2019,IMPORT,Taric,,"22900859272,38"
Septiembre de 2019,IMPORT,Taric,,"27475958526,21"
Octubre de 2019,IMPORT,Taric,,"29546375684,99"
Noviembre de 2019,IMPORT,Taric,,"26706276827,56"
Diciembre de 2019,IMPORT,Taric,,"24628627363,57"
Enero de 2020,IMPORT,Taric,,"27220279499,32"
Febrero de 2020,IMPORT,Taric,,"26360766497,71"
Marzo de 2020,IMPORT,Taric,,"24078042851,06"
Abril de 2020,IMPORT,Taric,,"16565009221,33"
Mayo de 2020,IMPORT,Taric,,"17624836853,97"
Junio de 2020,IMPORT,Taric,,"21333198535,68"
Julio de 2020,IMPORT,Taric,,"23919829191,91"
Agosto de 2020,IMPORT,Taric,,"19420855841,38"
Septiembre de 2020,IMPORT,Taric,,"24987888612,78"
Octubre de 2020,IMPORT,Taric,,"26000301497,83"
Noviembre de 2020,IMPORT,Taric,,"25244009223,84"
Diciembre de 2020,IMPORT,Taric,,"24170130883,26"
Enero de 2021,IMPORT,Taric,,"23212221295,82"
Febrero de 2021,IMPORT,Taric,,"25049560563,70"
Marzo de 2021,IMPORT,Taric,,"29335551311,02"
Abril de 2021,IMPORT,Taric,,"27318340028,63"
Mayo de 2021,IMPORT,Taric,,"27763061012,54"
Junio de 2021,IMPORT,Taric,,"28630229054,08"
Julio de 2021,IMPORT,Taric,,"28871497899,63"
Agosto de 2021,IMPORT,Taric,,"25983572543,91"
